COD_CONTA,DSC_ESTADO_CIVIL,DSC_SUITABILITY
366,SOLTEIRO(A),NÃO INFORMADO
367,SOLTEIRO(A),AGRESSIVO
368,SOLTEIRO(A),MODERADO
369,SOLTEIRO(A),AGRESSIVO
370,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
371,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
372,DIVORCIADO(A),AGRESSIVO
373,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
374,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
375,SOLTEIRO(A),AGRESSIVO
376,DESQUITADO(A),MODERADO
377,UNIÃO ESTÁVEL,AGRESSIVO
378,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
379,SOLTEIRO(A),MODERADO
380,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
381,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
382,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
383,SOLTEIRO(A),AGRESSIVO
384,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
385,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
386,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
387,UNIÃO ESTÁVEL,AGRESSIVO
388,SOLTEIRO(A),AGRESSIVO
389,UNIÃO ESTÁVEL,AGRESSIVO
390,SOLTEIRO(A),AGRESSIVO
391,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
392,UNIÃO ESTÁVEL,AGRESSIVO
393,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
394,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
395,DIVORCIADO(A),MODERADO
396,UNIÃO ESTÁVEL,AGRESSIVO
397,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
398,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
399,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
400,SOLTEIRO(A),AGRESSIVO
401,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
